Nome,Sobrenome,Data de Nascimento,Cidade de Nascimento,Nome do Pai,Nome da Mãe
Alyssa,Jacuzzi,1975-06-06,Wolfach,Charles 王,Kira Brooks
Todd,Smith,1983-11-10,关岭,Berthold Costa,Priscilla 谭
Olivia,Salas,1956-08-27,Wurzen,Jerry Eberhardt,Jessica 赵
Dennis,Hertrampf,1961-02-25,梧州,Corey Röhricht,Sabrina Ferragni
Donatello,Ferrell,1966-10-17,香港,Fabrizio Oliveira,Sarah Lima
Maria,Schwartz,1959-03-09,巢湖,David Mooney,Chelsea Förster
Donna,Binner,1945-05-20,成都,建华 Schüler,Stefanie King
Michael,Modigliani,1957-06-17,北镇,Jason Rivera,Sofia Agostinelli
Patrizia,Merritt,1983-06-23,Eisenhüttenstadt,Uberto Ferrucci,Luna Carvalho
Franka,陈,1983-06-29,东莞,Caio 邵,Klara Costela
Jamie,Moura,1971-05-24,Hagenow,Jesus Greer,Alexandria Schultz
Morena,Robinson,1956-01-02,Bad Liebenwerda,Andrew Walker,Raisa Martins
Emily,Everett,1954-11-16,合山,Michael Carfagna,Brittany Lehmann
Sylvia,Wheeler,1943-10-19,福州,华 Clark,玉兰 Rizzo
Eliana,耿,1985-01-05,Calau,辉 Zola,Jocelyn Larsen
Andrew,Klingelhöfer,1980-02-08,银川,Jose Wolf,Christine Marsili
Thiago,Henck,2003-09-12,Norden,Nicolò York,秀珍 Käster
Elena,Rosemann,1988-09-30,Senftenberg,Lucas Gabriel Stadelmann,Heidelinde Sandoval
平,Young,1955-02-06,Säckingen,Jesse Gutierrez,秀珍 Fernandes
玉珍,Silva,1989-06-29,辽阳,James Nogueira,Eileen Mercadante
Cynthia,Carter,2004-03-29,成都,Darin 阎,Laís Mcpherson
David,Farias,1985-03-12,太原,Travis Preston,Jessica Gaggini
Jesse,Nogueira,1997-01-06,香港,Gregory Teixeira,Jean Martins
磊,Lattuada,1965-06-18,南宁,Kevin Palombi,Svea Ortmann
Tamara,Wilson,1987-09-12,Wertingen,军 Krebs,琳 Mcclure
Puccio,Campos,1997-01-31,齐齐哈尔,Fabian Süßebier,Dominique Evans
Wolf-Rüdiger,Bryant,1950-09-02,银川,成 Barbarigo,Stephanie Peters
James,郑,1978-07-27,西安,强 陈,Hildegard Bulzoni
Andrea,杨,1954-06-11,北镇,Hans Georg 蔡,Amy Azevedo
红霞,Foscari,1961-01-17,海门,利 Interiano,Agatha Karge
Tiffany,Henck,1962-02-27,Altentreptow,Antonino Lima,Johanna Richard
Camila,Schwartz,1967-04-09,海口,Tillmann Perry,Erica Köhler
Kyle,Gray,1965-10-24,台北,Luiz Henrique Moreira,Eileen Wallace
Lorenzo,Turner,1966-08-26,太原,Nicholas Scheel,Elisabet Kitzmann
健,Ribeiro,1957-04-24,Kassel,Tristan Wiley,Brenda Kuhl
Maria Eduarda,Lawrence,1957-10-04,西宁,Nathaniel 张,Nina Berengario
Adrienne,Johnston,1975-01-01,Bayreuth,Goran Klotz,Natália Thanel
文,Jesus,1980-06-25,Celle,Christopher 邱,Clelia Jones
Rebeca,Tosto,1992-05-07,辽阳,Elladio Salazar,Priscilla Sales
Kurt,Davis,1978-03-08,宁德,Erwin 鲜,Natália Bennett
Emanuella,仲,1944-08-26,北京,Darrell Blümel,淑兰 陈
Armando,Ruggieri,1995-08-28,Darmstadt,Calvin Sgarbi,Sigrid Fiorucci
Hatice,Pinto,1976-03-16,Rockenhausen,Jesus Weihmann,春梅 Tate
Justin,Viana,1949-03-21,Dresden,杰 Onisto,Sabrina Campos
Bianca,Rose,1982-04-12,大冶,Samuel 邓,雪梅 曹
William,Scheel,1967-06-05,沈阳,Ottone 梅,Michelle da Mata
俊,Esposito,1987-12-23,Mühlhausen,Puccio Gilbert,Charlotte Vincent
Edoardo,Juncken,1980-07-15,福州,Pedro Henrique Abatantuono,Brandi Tencalla
John,da Cruz,1986-12-05,Güstrow,Pedro Miguel Finotto,Mona Nguyen
James,Almeida,1954-01-20,Göttingen,Victor Virgilio,Phyllis Ford
Hansjörg,Pohl,1987-09-28,Sternberg,Elias 陈,桂珍 陈
John,Freitas,1952-03-12,Wesel,Piergiorgio Gelli,玉兰 Holt
Luiz Miguel,da Mota,2000-09-24,贵阳,宇 Cortese,琳 Abbott
Inna,Cardoso,1966-07-18,Eilenburg,Zachary Grifeo,Emily Ortiz
Michela,Donovan,1993-05-27,长沙,Knut Lima,Isabella Patterson
Maurizio,Striebitz,1959-01-16,西宁,Pedro Henrique Durante,Carla Tornatore
Salvi,Koch II,1988-12-23,Schwäbisch Gmünd,瑞 Hernandez,欣 Ortese
Gilbert,魏,1997-10-05,Fulda,Paul Dalla,Marit Schäfer
Elsa,da Luz,1965-09-28,成都,Alexandre Pinto,玉珍 Reyes
David,Owens,1964-11-13,广州,Anthony Täsche,桂花 Aragão
秀荣,Mendoza,1984-11-18,Neunburg vorm Wald,健 Bolander,红梅 Pittman
Bonnie,Long,1992-07-29,Eisenhüttenstadt,Robert Murphy,Kristen Cunha
Karen,Mende,1943-11-09,Hildesheim,Brian Bishop,Sarah Stolze
Christl,Nohlmans,1957-12-12,Neustrelitz,Luiz Henrique Dobes,梅 Davis
Antonio,Ferrante,1947-07-26,Senftenberg,欢 Bompiani,Crystal Harris
Ludmilla,Girschner,1985-04-25,海口,Paul Matthews,Isabella Aragão
Luciano,Rudolph,1962-02-04,贵阳,Aaron Castillo,玉珍 Tran
Jorge,Aporti,1986-05-24,Burgdorf,Kevin Cicala,Amy Farrell
Niels,Small,1972-01-07,沈阳,Fernando Davidson,Pietra Zänker
Cecilia,Foster,1963-09-17,Kleve,Rolando Antonetti,Mariana Sagnelli
Ethan,Babati,1995-06-28,Gardelegen,Brandon Duarte,Vanessa Carli
林,孙,1991-02-22,Hofgeismar,Mahmoud Ferreira,Lara Dean
Hugo,姚,1948-02-11,关岭,Milan 林,Rosmarie Caldeira
Elizabeth,Allen,1979-02-07,张家港,刚 Hall,Maria Luiza Santiago
秀荣,Solimena,1963-01-24,成都,John Smith,Michelle Deledda
Vanessa,Marconi,1968-04-28,Düren,Jason 席,秀英 杨
Letícia,Gibson,1948-01-08,深圳,Lorenzo 朱,Angela Stroh
Iwan,Byrd,1943-09-17,Weißwasser,Ian Anguissola,Teresa Rodriguez
亮,Patel,1988-12-04,Calw,Dominic Ferreira,Kristina Petty
Bartolomeo,Harloff,1954-08-14,Büsingen am Hochrhein,Heinz-Gerd Costa,丽丽 Zorbach
Jeff,Junitz,1999-04-09,南京,帆 Morris,Deborah Morgagni
Ottavio,Azevedo,1947-01-11,南京,Gustavo Nosiglia,Patrizia Blake
Daniel,Dias,1953-12-28,Mainburg,Martino Medina,Sheena Phillips
Ana Carolina,石,1980-03-03,Rockenhausen,Pietro Cortese,瑜 Kraushaar
Sheila,唐,1987-04-01,Riesa,Steven Villarreal,Nicoletta Weinhage
Nadja,孙,1996-09-28,Herzberg,Saverio Cuda,Barbara Seip
Gastone,王,1996-05-09,宁德,Tullio David,Giada Ellis
Cirillo,Blasi,1984-06-06,福州,Tyler Hernandez,Mallory Rice
佳,Hartmann,1977-02-06,Norden,Andrew Baker,丽华 Offredi
Jennifer,Dandolo,1987-03-20,邯郸,Jerry Ruppert,Debbie Cardoso
Thiago,杨,2001-02-05,Dachau,Brent Vidoni,玉英 Miranda
Hannelore,Maynard,1944-10-12,Paderborn,军 Lorch,Courtney Morgan
Samira,Kobelt,1993-11-20,西安,Achille 石,Larissa Benussi
Stephanie,Reuter,1973-03-14,福州,James Warmer,Yasmin Stey
Guarino,Mitchell,1961-05-24,Saarbrücken,Philip Broggini,Faith Foster
Chelsey,Carter,1985-11-22,Apolda,Stefan 岳,Fabia Schneider
Paige,Johnson,1954-07-02,Amberg,Daniel Little,秀梅 Surian
桂香,Higgins,1970-06-19,昆明,Giampaolo Inzaghi,静 Martin
晶,Davis,1979-12-20,Uffenheim,Paul Maffei,Beatrice Butler
俊,Forza,1947-06-07,昆明,Alexander Pereira,霞 Martins
Mathew,Perez,1958-08-24,Teterow,Edelbert Moraes,Serena Cunha
Gert,Palumbo,1963-04-29,Rochlitz,欢 李,Ariane Golden
Ana Lívia,Brown,1987-09-11,乌鲁木齐,Steven Barbosa,Iolanda 刘
Ben,邱,1966-10-03,兴安盟,Stephen Weller,婷 陈
Paulina,Melo,1970-09-12,Schwäbisch Gmünd,Cameron Wagner,Madison Brown
雪,da Mota,1996-07-30,张家港,建 Fox,Kathryn Mendes
Hans-Michael,Schäfer,1963-06-09,乌鲁木齐,Karl-Hans Bassi,Michele Pölitz
Dante,Campos,1947-02-18,济南,Nathan Bärer,丽 Mckenzie
Leonardo,刘,1968-02-23,梧州,Cristian Rapisardi,桂英 Adkins
Maria,Hunter,1984-12-27,海门,Philip Cuzzocrea,倩 黄
Robert,Kim,1987-11-20,澳门,Mark Weaver,Brianna da Paz
莹,Aragão,1949-10-29,合肥,Angelo Ferrari,Jennifer White
André,Davis,1942-10-11,齐齐哈尔,Robert Nohlmans,Irmhild Carroll
桂香,Ebert,1951-03-14,Geithain,Daniel Pohl,Renata Walker
Rudolph,Sabbatini,1985-01-14,南宁,Kaique Flowers,Emanuella 李
Bradley,da Rocha,1943-10-20,梧州,Dustin Otto,云 Martins
Breno,杨,1970-06-18,南京,龙 纪,Rachel 张
Laureano,Rocha,1979-01-17,Recklinghausen,晨 Donà,Elisa Camanni
Vitor Hugo,Farias,1981-12-10,Rathenow,飞 Gomes,Monica Herrera
Leone,Ramos,1946-10-31,Rottweil,洋 Vieira,Antonella Martinez
Adrian,Schinke,1966-07-01,Sulzbach-Rosenberg,Aldo Martins,Paulina Langern
晨,Fuseli,1974-06-10,沈阳,坤 Caldeira,Elizabeth 陈
Bela,Faugno,1979-07-24,Döbeln,林 Palombi,Hannah Buonauro
Luiz Miguel,Birnbaum,1972-10-12,Worbis,Pierpaolo Cagnin,Sandra Martinez
Maria Eduarda,Hernandez,1963-04-24,兰州,Michael Casadei,Brittney Randall
红梅,Keudel,1962-01-29,上海,Guiseppe Rörricht,Priscilla Mclaughlin
Kristen,Meyer,1984-08-21,贵阳,Aleksander Ramos,莹 Tucker
Piermaria,Aragão,1969-10-17,西安,宇 Trupp,Letícia Olson
Carrie,Mascagni,1977-03-15,拉萨,Saban Garcia,Melissa Fogaça
Troy,Migliaccio,1944-09-19,Jena,Christopher Greggio,娜 Gonzalez
James,Broschi,1986-11-16,西安,Paulo 官,Clara Vogt
建军,Rogner,1966-03-09,Lübeck,宇 Schwartz,Melissa Pergande
Annalisa,Fogaça,1987-09-18,Sondershausen,Kaique Cooper,Erica Giannuzzi
想,Teixeira,1991-02-20,Forst,John Sermonti,Laís Merisi
Tracy,Azevedo,1960-08-12,Zossen,Benedetto Araújo,Rachel 余
Brian,Gonçalves,1945-06-29,海门,Jeffrey Casarin,Alana Johnston
Patrick,彭,1975-03-30,Jüterbog,Donato Melo,Anne-Katrin Smith
Wendy,Kim,1966-09-27,大冶,Chad Dehmel,Theresa Azevedo
Graziano,Jenkins,1962-09-05,福州,Christian 王,雪梅 Hübel
Thiago,Collins,1944-05-03,海门,Enrico Fox,Swetlana 孟
Joseph,Platini,1978-10-22,Niesky,Ronny Holt,Nicole Pitts
春梅,Weitzel,1964-09-23,淮安,Michael Mies,Nina Albers
Guarino,Hofmann,1964-08-08,大冶,Juergen Vaughn,Mercedes Stanley
桂芝,Beyer,1944-12-07,嘉禾,Friedrich-Wilhelm Alexander,Paola Acevedo
Luiza,Fröhlich,1955-09-29,石家庄,Jordan Wiley,Lívia Souza
Ekaterina,Jones,1967-06-04,长春,João Pedro Rezende,Tatiana 曾
鑫,刘,1944-03-20,沈阳,Armando Campos,Kathleen 牛
Robert,Rust,1974-01-16,齐齐哈尔,Donald Spears,Barbara Aguirre
艳,Oliveira,1966-01-19,Stade,Paul Modigliani,Amber 许
Constance,Barcella,1964-12-27,Meißen,鹏 Cunha,Caroline Kelly
Uwe,Lindau,2004-06-17,Diepholz,强 Moreira,Mechthild English
Mark,王,1956-01-02,天津,Timothy Atzler,Caterina Farias
Pietra,Frazier,1946-06-29,广州,Cody Wright,Sybille 马
Yasmin,da Mota,1971-05-30,Northeim,Gustavo Henrique Röhricht,Jessica Köster
Isadora,Killer,1962-06-27,Eisenhüttenstadt,杰 Cardoso,Bianca Deledda
Emilia,Peterson,1955-08-01,Demmin,Piermaria 萧,Isabelly Maggioli
鑫,俞,1994-01-21,昆明,Umberto Roach,Júlia Tolentino
平,顾,1960-07-07,Torgau,Brandon 刘,淑珍 Bixio
Luiz Henrique,Ferrata,1971-05-26,Borken,Hans-Günter Rörricht,Donna Johnson
Donald,Marangoni,1982-01-11,天津,Clayton 申,Molly Clark
Christopher,Bates,1976-09-26,呼和浩特,Arne Tartaglia,Ana Júlia Owens
Crystal,Smith,2004-10-04,南昌,Francisco Porto,Ana Julia Traetta
Alana,Morales,1983-10-22,贵阳,Brandon Polani,Almut Ritter
Ellinor,English,1979-02-27,北镇,辉 李,霞 Gross
Kreszenz,瞿,1981-02-07,Eggenfelden,Thomas Young,Jamie Knox
Hedda,Frye,1983-07-02,太原,H.-Dieter Zarlino,小红 Turner
云,田,1959-10-07,Goslar,David 杨,婷婷 Dawson
Courtney,da Mota,1975-11-25,Eutin,Benício Atkins,Sofia Costela
Valerio,Lima,1964-12-19,西安,Biagio Mann,Alessia Castro
Susanna,Rocha,1958-04-11,Ochsenfurt,Martin Lutz,Caterina Castro
Lisa,Davids,1960-11-08,淮安,Hans-Karl Macias,Christina Gunpf
Beatriz,Washington,1957-12-27,Ludwigsburg,Henrik Bruder,Marcela Pratesi
Adamo,Lambert,1994-04-27,Badibling,Taylor 鞠,Debra Doria
Jennifer,Smith,1953-10-06,六安,Mattia 覃,Mareile Miller
Júlia,黄,1954-07-11,合山,峰 梁,Patricia Brown
Marie-Luise,Hall,1958-11-28,荆门,Hansjörg Condoleo,Sarah Huhn
Crystal,黄,1985-04-26,西宁,Guarino Michael,Jennifer 纪
军,Grant,1988-09-08,关岭,Nicolò da Costa,Pierina 韩
Christina,Pugliese,1964-11-17,宜都,勇 Olsen,Jill Reising
Ryan,Estrada,1954-09-02,Soltau,亮 Lombroso,Emma Pisacane
飞,Silveira,1962-12-26,北京,Spencer Oconnor,柳 Viana
Miranda,Lima,1983-08-29,荆门,Michael Gonzales,Donna Powell
Vitor,Brown,1991-01-23,Zschopau,Jeremy Edwards,Júlia Holmes
Luiz Fernando,Venditti,1978-03-16,沈阳,Henrique 姜,Jeanne Seip
Albin,Young,1960-12-18,Eutin,飞 Seidel,Brooke Speer
James,Trujillo,1984-03-24,Passau,Leonardo Ceravolo,琴 戴
Horst-Günter,Costa,1989-10-12,Neunburg vorm Wald,Edwin Miller,Kimberly Flantz
成,迟,1975-04-10,Lübben,Kaique Black,Flora 王
Tammy,Jesus,1948-08-01,银川,Donato Giunti,Karen Clark
畅,Gonçalves,2003-12-14,Gräfenhainichen,Serge Eckbauer,Antonia Lindau
Heinz-Josef,赵,1962-08-03,Kulmbach,Robert 王,Judith 李
Lindsey,da Rocha,1971-04-05,Gießen,Fernando Yang,Isa Stahr
João Guilherme,da Cunha,1951-06-08,Vilsbiburg,Juan Oliveira,Sabrina Gabba
Eberhardt,Knapp,1958-06-09,Badoberan,Luiz Fernando Cruz,Krista Anderson
Mariele,Hamann,1986-07-12,Zossen,Alfonso Mejia,Emanuella Thomas
Patrizio,Holsten,1953-11-16,大冶,岩 Williams,桂花 Roth
瑞,鲁,1978-04-20,Marienberg,Janus Reichmann,Emily Casey
Donato,Heath,1952-03-26,Hainichen,Jared 张,Dolores Holt
Lidija,Anderson,1965-11-26,Wismar,Dennis Nolcini,Leopoldine Santos
Ermanno,Roskoth,1994-11-26,Borken,Giorgio Lopes,Nina Novaes
博,蒋,1990-02-19,Wiedenbrück,Lucca Viana,Valeria Bolton
Michael,Renault,1976-05-04,呼和浩特,Celal Trapp,Janette 向
Debra,Choi,1986-07-31,Tirschenreuth,Damiano Heinz,Frauke Calbo
Lisa,Drake,2000-10-27,张家港,兵 Gutknecht,Isa Cunha
Christopher,Dias,1976-10-31,Guben,瑞 符,Clelia Pinamonte
Daryl,Peixoto,1969-10-14,海口,Fernando Underwood,Isadora Vattimo
John,阎,1960-02-17,邯郸,Dionigi Fritsch,Molly Vargas
Clarice,郭,1995-09-05,合肥,Ottone 魏,Luiza Dennis
Daniel,Miranda,1984-08-19,兴安盟,坤 Sweeney,Antonietta 卞
芳,Carli,2001-10-03,Northeim,Pedro Lucas Cole,Morgan da Rocha
Dino,鞠,2001-01-05,成都,Costanzo Aloisio,Caroline Garcia
Marcantonio,Heydrich,1984-08-12,Zossen,Napoleone Mcknight,Natali Foley
Gerhild,Freitas,2004-10-10,Kitzingen,Igor Fuller,Sophie Jacobs
Esther,Park,1956-07-21,Werdau,Hans-Karl Satta,Amy Dussen van
Ornella,Nunes,1999-11-21,Lippstadt,Kevin Aragão,Amber Zirme
Mirella,Ricciardi,1946-04-27,Aschaffenburg,Gustavo Henrique Byrd,红梅 Vollbrecht
俊,Rubbia,1949-04-15,巢湖,峰 Asmundo,Mirella Hunter
Sofia,Sharp,1980-10-18,Lemgo,Pier Shaw,Toni Valencia
芳,Brown,1947-04-16,石家庄,Joseph 王,Raquel Cordova
Matthew,Hansen,1945-02-13,Eckernförde,Paul Rogge,Helena 甘
Raissa,Weimer,1978-01-17,兴城,帆 Young,Mary Harris
玉英,Donatoni,2003-11-28,Perleberg,Lance 张,Robin Smith
Dante,Aragão,1961-05-11,佛山,Timm Salz,Brunhild Pereira
Georgine,Riley,1954-09-12,Zossen,Ingmar Brown,Filippa Costa
Eddie,Iannucci,1955-10-13,Rochlitz,Derek Respighi,Maria Alice Peruzzi
Gina,Teixeira,1967-06-13,Eisenach,Vinicius Moreno,秀英 Gramsci
成,Harris,1953-08-15,嘉禾,Sean Miller,Maria Vitória Cavalcanti
凯,Piacentini,1974-05-02,Gadebusch,Peter Stumpf,Aria Rollins
Elzbieta,Campos,1944-11-24,张家港,Laureano Fitzpatrick,倩 Jordan
桂兰,吴,1961-06-23,东莞,Shawn Freitas,Tina Rubbia
Jonas,Heinz,1993-01-24,Eisenberg,Raik Smith,Krystal Jennings
Michele,Hunter,1964-02-03,Berchtesgaden,Sebastiano Lewis,Luana Clark
玉华,王,1960-03-13,贵阳,Gabriel Gadda,Gabriela Kennedy
Rosa,Mendes,2003-03-13,Crailsheim,Jay Sanchez,Brooke Turner
洁,Adams,2004-11-21,Sangerhausen,Emanuel 尹,Maria Julia Drub
Arthur,Rodrigues,1949-02-23,合肥,Michael Kabus,Alícia Fox
Lisa,Lee,2002-11-15,嘉禾,Hans-J. Erickson,娜 Torres
Enrico,Zola,1955-02-05,澳门,Karl-Jürgen 彭,Traci Aragão
Marina,Canevascini,1947-04-27,北镇,Michael Comisso,Bianka Rios
Annunziata,Tröst,1953-10-09,广州,Fausto Bellò,Josefa Hübel
玉兰,Buonauro,1952-03-09,通辽,Edwin Harris,Amanda Williams
Vinicius,陈,1972-07-05,南昌,Jerry Correia,Patricia 杨
James,梁,1967-05-12,Melle,Ekkehart Garcia,Marie Almeida
Phillip,Costela,1989-08-18,拉萨,Calebe Meyer,Olivia Jarvis
Karen,Sullivan,1954-04-13,Döbeln,Joseph Gioberti,Apollonia Omma
Bastian,Tschentscher,1955-10-08,Hünfeld,Michael Jones,小红 Montalti
Cecília,Costa,2002-01-25,福州,Milos Carlson,Allison Torres
旭,Ramos,1958-07-05,Lübz,Ulrich Canevascini,Susanna Cuevas
Enzo,da Mata,1980-04-15,天津,Jordan 徐,Marissa Savorgnan
Todd,Pausini,2003-07-10,福州,Charles Scotto,Gabriela 王
Nancy,Weihmann,1996-02-15,荆门,Eitel 李,Emily Hansen
Luigi,左,1954-12-09,Donaueschingen,Joel Moura,Eugenia Carr
Laura,Tintzmann,1958-08-27,惠州,Rodney Cesarotti,Darlene Rios
Enzo Gabriel,Davis,1989-01-11,Lüdenscheid,Joseph 刘,Amanda Tolentino
超,Mendez,1965-06-26,Riesa,Thiago Tommaseo,Ana Lívia Moore
Brian,Moraes,1954-03-13,潜江,Pedro Lucas Larson,Valentina Scott
Benjamin,史,1953-07-15,邯郸,鹏 Barnett,Marilyn Ramirez
波,Heidrich,1998-01-15,Tuttlingen,Samuel 赵,Mary Basso
辉,Santos,1984-10-07,Wittmund,Uberto Rezende,Virginia da Conceição
Steven,Fantini,1974-02-23,Meppen,Andrew Jordan,Milena Gigli
玉珍,Peck,1990-08-14,香港,Patrick 戴,Giulia Andrade
Gianmarco,Sansoni,1970-06-19,郑州,文 Taylor,Ana Gonzales
Stefano,Sauer,1957-04-21,重庆,Nathan 高,Amber Manning
Gerold,Ricci,1984-10-09,六安,Jonathan Troisi,Lina Foletti
倩,叶,1954-06-07,Eisenach,Goffredo 邓,Sally 龙
Dionigi,Cainero,1946-07-17,Gütersloh,Gastone Niemeier,Marika Trupp
淑珍,Hernandez,1942-06-13,台北,Daniel Tschentscher,Karen Cardoso
Achille,Hübel,1950-08-01,Ludwigsburg,João Vitor Martins,Sarina Heuser
Ian,Höfig,1948-03-16,郑州,Seth Giacometti,Asta Casey
Andrew,Pärtzelt,1945-08-26,杭州,Erik Paffrath,Nicole Ritter
Lucas,Park,1968-12-11,宁德,Girolamo Schinke,Gabriela Casalodi
柳,Schüler,1979-01-31,Gütersloh,帆 Bähr,Livia Gotthard
Sabina,Smith,1951-06-17,昆明,Todd Watson,Susan Kobelt
Jenna,Torres,1966-06-19,西宁,Luiz Henrique 潘,Jutta da Cruz
Brittany,Nascimento,2001-03-31,济南,Pellegrino Beffa,Samantha Pellico
Thomas,Hensley,1954-12-14,辛集,宇 Henschel,Martina Hertrampf
Justin,Sagnelli,1976-01-27,Saulgau,Christopher 王,Carolina 韦
Mario,Christian,1976-11-19,Eisenberg,Fred Lübs,Lívia Maldonado
华,林,1979-07-25,Höxter,Bradley Harvey,Valentine Lanfranchi
Luisa,Gomes,1963-11-12,澳门,Alessio Rohleder,玉华 Gierschner
莹,Misicher,1988-09-29,Altötting,Paul Schomber,淑英 Gonzalez
玉英,Cicala,1998-11-19,成都,Malte 傅,Lidia 周
东,Bruder,1983-02-17,辛集,Milan Harris,Dawn Moura
Donald,Thornton,1964-10-23,哈尔滨,Beppe Howard,Ana Carolina Pereira
Gretchen,鹿,1949-05-23,Miltenberg,Piero Micheletti,Graziella Henry
Arsenio,Young,1954-05-26,Görlitz,Fedele 鞠,Paloma Duncan
Walther,Wirth,1963-01-28,福州,波 Fagotto,Pamela Moraes
Sophie,Giulietti,1949-01-16,张家港,Caleb Garrett,Ana Julia Ramsey
Michael,Atkinson,1955-04-01,邯郸,Thales Traetta,Brittney Johnson
Kevin,Ryan,1996-07-29,Leipziger Land,Rodrigo Wilcox,Catherine Binner
Patric,Lopes,2004-02-28,柳州,Jeffery Cardoso,Georgine Pozzecco
Emanuella,Gute,1979-01-12,Nabburg,Thomas 邓,Uta Patrick
George,Papetti,2001-04-05,Parchim,Craig Bean,Danielle Striebitz
Jordan,Cross,1979-08-01,宜都,Günter Ziegert,Paloma Davis
Luigi,牛,1951-05-04,Auerbach,João Gabriel 黄,Clarissa 许
Davi,Speer,1947-03-18,Schlüchtern,Ryan 陈,柳 Grassi
洁,Monteiro,1959-07-28,Regensburg,亮 Palmisano,Jennifer Jesus
Laura,Brown,1976-01-23,北京,Temistocle Ullmann,Katherine Smith
Bryan,Rust,1999-04-22,潮州,Ryan Reyes,Wendy Mcdonald
欢,Patberg,1980-11-26,沈阳,Sean Brady,Clarice Canali
Jennifer,Moraes,1988-09-03,München,Arthur Jones,Heather Giannotti
Robert,Walter,1976-07-21,Neu-Ulm,Sean Moreira,婷 Humphrey
Dorothee,Kabus,1984-09-23,西安,Pedro Miguel Dickerson,Cecilia Henderson
凤英,Ribeiro,2001-02-11,上海,Timothy Alonzi,丽丽 Teixeira
宁,Palombi,1961-10-03,Ilmenau,Gregor 王,凤兰 Lopes
Marcello,Mannoia,1994-11-03,广州,Cory 何,Graziella Malone
Ana Carolina,Harris,1985-06-26,Jülich,Damiano Bartlett,Kristen 李
Vincenza,Hill,1958-06-01,张家港,Friedrich-Karl Morrison,Michela Stevens
João Pedro,彭,1949-05-01,Brandenburg,Daniel 邓,Teresa 陈
建军,Martins,2003-04-08,宁德,Brad Banks,Sandra Paul
Alice,Rodriguez,1944-10-25,重庆,Tracy Costa,Silvia Fischer
玉,Gates,1993-02-16,Sondershausen,Santino Avila,Ornella da Cruz
燕,Prada,1953-09-21,Einbeck,John Gude,Kaitlyn Castro
洁,Cesarotti,1994-02-24,Göttingen,Robert Guerrero,Rachel Karz
Carol,Williams,1998-02-23,Mallersdorf,Winfried Fiorucci,Sophia Reeves
Olivia,Scandone,1949-02-01,台北,Reimer Freitas,Jody Smith
超,Chaney,1988-06-24,沈阳,Brandon Ludovisi,Vitória 刘
Hans-Wilhelm,Alves,1975-08-12,海口,Rafael Balotelli,Viridiana Luria
Enzo,Reyes,1999-10-20,Hofgeismar,Luca 杨,秀梅 Vogt
Hans-Günter,Santiago,1943-04-05,Klötze,彬 Williamson,Fernanda Baker
Atenulf,Necci,1959-03-17,哈尔滨,Willibert Mastandrea,Christina Nitto
Hinrich,李,1984-01-30,银川,Ingolf Naser,Alexis 梁
Hildburg,da Rocha,1955-01-11,Eichstätt,瑞 Francis,Andrea Morales
Fernando,Santos,1981-05-20,潮州,Ugo Turner,Megan Kruschwitz
Mario,Rezende,1980-05-16,合肥,Anatol 王,Ana Williams
Sieghard,Grant,1980-10-02,合山,Valerio 田,Júlia Davis
Massimo,Hogan,1958-04-18,Rottweil,Alex Gude,Ljudmila James
Mirella,Porto,1998-10-29,南昌,帅 Weinhold,Kamilly 张
Shawn,Freeman,1986-03-26,沈阳,Grant Keller,Penny Rodriguez
Maria Fernanda,Mälzer,1996-05-22,Hannoversch Münden,Pedro Knight,Michela Ferreira
桂兰,Parsons,1982-04-11,Lüdinghausen,超 Roberts,Sherry Fogaça
Tanya,Martin,1985-10-18,Großenhain,Ryan Gonzalez,丹 Rogner
Sophia,Noack,1969-10-12,Füssen,Karl-Hans Ortmann,Maria Cecília Henry
华,Speer,1995-03-24,Grimmen,Hunter Gomes,倩 Scholz
Debbie,Benton,1969-10-05,Wolgast,Severino Solis,Gabrielly Randall
Hans,Junken,1944-11-01,Roding,Marcelo Johnson,桂芳 Maderna
Lindsey,da Cruz,1986-03-05,Geldern,飞 Comisso,Laura 沈
Zoltan,Sherman,1970-09-14,六安,Steven 刘,萍 Davis
Sara,Almeida,2001-12-08,梧州,Joshua Prati,Carmine Roth
Nathan,Cardoso,2003-09-29,Brilon,Gabriel 施,Hella Johnson
John,Biagiotti,1994-02-16,Hersbruck,Mark Lewis,Petra Hamilton
Jennifer,王,1973-10-07,沈阳,伟 Cesarotti,Dietlind Garcia
Dionigi,Veltroni,1994-07-28,Uelzen,Jason Zacco,Carla Gatto
Gioele,Lucchesi,1987-06-22,辛集,Charles 马,Elsbeth Canali
James,Almeida,1974-11-02,兴城,Roger Correia,Rosina Frey
龙,Freitas,1987-03-18,武汉,Angel Dawson,Lisbeth 侯
Arthur,Teixeira,1960-12-06,马鞍山,Samuel Haase,Sheri Meza
Michelle,朱,1950-08-08,Badibling,Matthew Costela,Nicoletta Beffa
Martino,Tröst,1962-12-21,Sömmerda,Claudio Seifert,淑华 Costela
杨,Garcia,1997-07-20,合山,Filippo Wieloch,Kamilly da Mata
Vanessa,Duarte,1953-11-25,哈尔滨,Carl Thomas,Eduarda Farnese
Evan,Dovara,1943-10-21,梧州,Costantino Hall,Vitória Geisler
Inken,Adolph,1983-06-14,Peine,Matheus Casaleggio,Sarah Legnante
红梅,Hein,1995-10-14,荆门,Gary Lewis,Edeltraut Williams
